label,zone,best_cluster,category,ratio,distance,threshold,num_matches,text_preview
(i),typical,Broad Economic and Financial Market Changes Exclusion,economic,0.45,0.1249,0.2801,1,"changes in general economic conditions (including changes in interest rates, exchange rates or commo"
(ii),typical,Broad Economic and Financial Market Changes Exclusion,economic,0.48,0.1348,0.2801,1,"changes in conditions in the financial markets, credit markets or capital markets in the United Stat"
(iii),outlier,Broad Economic and Financial Market Changes Exclusion,economic,1.3,0.3629,0.2801,0,changes in conditions in the industries in which such Person and its Subsidiaries conduct business
(iv),typical,Broad Economic and Financial Market Changes Exclusion,economic,0.67,0.1874,0.2801,2,"changes in regulatory, legislative or political conditions in the United States or any other country"
(v),typical,"Changes in Law, GAAP, and Regulatory Accounting Standards",accounting,0.49,0.1448,0.2942,1,changes in Laws or other binding directives issued by any Governmental Authority or in GAAP or in ac
(vi),typical,Catastrophic External Events Beyond Party Control,force_majeure,0.46,0.1378,0.2965,1,"geopolitical conditions, the outbreak or escalation of hostilities, any acts of war (whether or not "
(vii),typical,Catastrophic External Events Beyond Party Control,force_majeure,0.63,0.1882,0.2965,1,"earthquakes, volcanic activity, hurricanes, tsunamis, tornadoes, floods, mudslides, wild fires or ot"
(viii),typical,Catastrophic External Events Beyond Party Control,force_majeure,0.97,0.2869,0.2965,1,"any pandemic, epidemic or disease outbreak (including COVID-19 (including any mutation, variation or"
(ix),typical,Actions Taken Pursuant to or Required by Agreement Terms,transaction,0.88,0.2462,0.2786,1,"any actions taken or failure to take action, in each case, which Parent has requested or to which Pa"
(x),typical,Exclusion for impacts from deal announcement and execution,transaction,0.64,0.1619,0.254,1,any Effect attributable to the announcement or execution of this Agreement or the pendency or consum
(xi),typical,Failure to Meet Financial Projections and Forecasts Exclusions,disclosure,0.65,0.132,0.2025,1,"any failure by such Person to meet any projections, forecasts, guidance, estimates, milestones, budg"
(xii),typical,Market Price and Trading Volume Exclusions with Underlying Cause Carvebacks,transaction,0.47,0.1315,0.2792,1,any change in the market price or trading volume of such Person's securities or any change in the cr
(xiii),atypical,Exclusion for Stockholder Litigation Arising from Merger Transaction,transaction,1.14,0.3042,0.2664,0,any Transaction Litigation
